_id,created_date,general_name,name,level,__v
5fbfc801d845c220f8c0b7cc,2020-11-26T15:21:37.816Z,Borena,Bekolemayu,level_2,0
5fbfc801d845c220f8c0b7cd,2020-11-26T15:21:37.817Z,Borena,Melkameri,level_2,0
5fbfc801d845c220f8c0b7ce,2020-11-26T15:21:37.817Z,Borena,Bukimesho,level_2,0
5fbfc801d845c220f8c0b7cf,2020-11-26T15:21:37.817Z,Borena,Bude,level_2,0
5fbfc801d845c220f8c0b7d0,2020-11-26T15:21:37.818Z,Borena,Bilbull,level_2,0
5fbfc801d845c220f8c0b7d1,2020-11-26T15:21:37.818Z,Borena,Matit,level_2,0
5fbfc801d845c220f8c0b7d2,2020-11-26T15:21:37.818Z,Borena,Dembero,level_2,0
5fbfc801d845c220f8c0b7d3,2020-11-26T15:21:37.818Z,Borena,Moyale,level_2,0
5fbfc801d845c220f8c0b7d4,2020-11-26T15:21:37.819Z,Borena,Kedakuma,level_2,0
5fbfc801d845c220f8c0b7d5,2020-11-26T15:21:37.819Z,Borena,Eleh,level_2,0
5fbfc801d845c220f8c0b7d6,2020-11-26T15:21:37.820Z,Borena,Fitle,level_2,0
